Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
foo/old/26,3.25106145674693e-8,3.246275637224126e-8,3.256514490464829e-8,1.6569204771499478e-10,1.3958891764043561e-10,2.1103272991535986e-10
foo/dyn/26,5.696767416990396e-8,5.681597691558439e-8,5.728384331199682e-8,6.945868157569886e-10,3.7805447814901464e-10,1.1962506355000666e-9
foo/new/27,1.3046373420337873e-8,1.3004228156967967e-8,1.3112153660570876e-8,1.7110569415301663e-10,1.308649256179643e-10,2.774246614181051e-10
foo/old/27,3.3163207298584163e-8,3.310393214181509e-8,3.322978286717689e-8,1.9938520231797374e-10,1.608023123990567e-10,2.696709876942022e-10
foo/dyn/27,5.363997084056752e-8,5.334108525332556e-8,5.415140187382711e-8,1.334217934690378e-9,8.641436698519065e-10,1.948273044263796e-9
foo/new/28,1.3597674820902159e-8,1.3570385255027243e-8,1.3643727323409567e-8,1.1301613805131971e-10,7.893134890861067e-11,1.7151742759751874e-10
foo/old/28,3.8985825145724994e-8,3.773504730930413e-8,4.020973360057099e-8,4.17382710263539e-9,3.965073330645869e-9,4.482803211201019e-9
foo/dyn/28,5.5249458171073194e-8,5.506096737546214e-8,5.594309613524011e-8,1.0442348206334553e-9,3.1561726251175656e-10,2.320221573469577e-9
foo/new/29,1.3743545886569827e-8,1.3712639050293045e-8,1.3783400348310038e-8,1.1097138744382089e-10,8.765097340709636e-11,1.6771299034741026e-10
foo/old/29,3.3881407441636015e-8,3.3799010109081724e-8,3.4099100233913864e-8,3.974459464102402e-10,1.73827760364819e-10,7.580335372912733e-10
foo/dyn/29,5.729073127744537e-8,5.695579002334413e-8,5.8021084772022754e-8,1.5127856164154294e-9,7.739301423464147e-10,2.8885601438556257e-9
foo/new/30,1.444745941135163e-8,1.4401401897367005e-8,1.4540834204034889e-8,2.1386834157636117e-10,1.244098328305864e-10,3.782932852926067e-10
foo/old/30,3.492748315156025e-8,3.484988809866088e-8,3.507214144480796e-8,3.367641455899067e-10,1.9683094056977016e-10,6.422253614241234e-10
foo/dyn/30,6.625161095543758e-8,6.595522168271853e-8,6.7002391764235e-8,1.4113677362433559e-9,3.9969827151757814e-10,2.4474637112989378e-9
foo/new/31,1.452740036528545e-8,1.4491015070690674e-8,1.4610095032527685e-8,1.7961333316277735e-10,1.0833444580338528e-10,3.159922402158668e-10
foo/old/31,3.561628127145025e-8,3.5540818760996246e-8,3.5687834892236305e-8,2.4946319396023676e-10,2.0965570942687845e-10,3.110356259250167e-10
foo/dyn/31,6.260808433697684e-8,6.239969355930656e-8,6.306669269075688e-8,1.006762038539328e-9,4.513009120937633e-10,2.0539576752021603e-9
foo/new/32,1.5127541379910408e-8,1.509587041942847e-8,1.5161341309839734e-8,1.0661676954414627e-10,8.753743078266516e-11,1.4799322009476468e-10
foo/old/32,3.7930605605439345e-8,3.7873082279995956e-8,3.7995997215591856e-8,2.0315234161581383e-10,1.6569763763917273e-10,2.451872780700586e-10
foo/dyn/32,6.337715462811734e-8,6.276906114030493e-8,6.472466418186024e-8,2.9137512298658566e-9,9.64105878940472e-10,4.917038423724374e-9
foo/new/33,1.5320237920552347e-8,1.528914612886398e-8,1.5354693028888805e-8,1.1640164658230871e-10,1.004335045275671e-10,1.3928009888521594e-10
foo/old/33,3.7386209158916224e-8,3.730720495439413e-8,3.7525294770782215e-8,3.501452660988633e-10,2.0052002128529074e-10,5.627095039908251e-10
foo/dyn/33,6.584385391952698e-8,6.542361573632909e-8,6.738866730251024e-8,2.4256135580192544e-9,5.102820314625539e-10,5.086889743426475e-9
